,Image,Title,Directors,Rating,Description,Genre
6694,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M3GAN, Gerard Johnstone ,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Sci-Fi
6695,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M3GAN, Gerard Johnstone ,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Thriller
6696,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M3GAN, Gerard Johnstone ,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Horror
6697,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,¡Nop!, Jordan Peele ,6.8,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Sci-Fi
6698,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,¡Nop!, Jordan Peele ,6.8,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Mystery
6699,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,¡Nop!, Jordan Peele ,6.8,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Horror
6700,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Scream, Matt Bettinelli-Olpin| Tyler Gillett ,6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Thriller
6701,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Scream, Matt Bettinelli-Olpin| Tyler Gillett ,6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Mystery
6702,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Scream, Matt Bettinelli-Olpin| Tyler Gillett ,6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Horror
6703,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Barbarian, Zach Cregger ,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Thriller
6704,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Barbarian, Zach Cregger ,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Mystery
6705,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Barbarian, Zach Cregger ,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Horror
6706,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Black Phone, Scott Derrickson ,6.9,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Thriller
6707,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Black Phone, Scott Derrickson ,6.9,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Horror
6708,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Déjame salir, Jordan Peele ,7.7,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Thriller
6709,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Déjame salir, Jordan Peele ,7.7,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Mystery
6710,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Déjame salir, Jordan Peele ,7.7,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Horror
6711,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shutter Island, Martin Scorsese ,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Thriller
6712,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shutter Island, Martin Scorsese ,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery
6713,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,La niebla, Frank Darabont ,7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Sci-Fi
6714,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,La niebla, Frank Darabont ,7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Thriller
6715,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,La niebla, Frank Darabont ,7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Horror
6716,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Psicosis, Alfred Hitchcock ,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Thriller
6717,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Psicosis, Alfred Hitchcock ,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Mystery
6718,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Psicosis, Alfred Hitchcock ,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Horror
6719,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Memento, Christopher Nolan ,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Thriller
6720,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Memento, Christopher Nolan ,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Mystery
6721,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Múltiple, M. Night Shyamalan ,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,Thriller
6722,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Múltiple, M. Night Shyamalan ,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,Horror
6723,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Expediente Warren: The Conjuring, James Wan ,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,Thriller
6724,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Expediente Warren: The Conjuring, James Wan ,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,Mystery
6725,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Expediente Warren: The Conjuring, James Wan ,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,Horror
6726,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alien: Covenant, Ridley Scott ,6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Sci-Fi
6727,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alien: Covenant, Ridley Scott ,6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Thriller
6728,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alien: Covenant, Ridley Scott ,6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Horror
6729,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El hoyo, Galder Gaztelu-Urrutia ,7.0,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,Sci-Fi
6730,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El hoyo, Galder Gaztelu-Urrutia ,7.0,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,Thriller
6731,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El hoyo, Galder Gaztelu-Urrutia ,7.0,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,Horror
6732,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,La cabaña en el bosque, Drew Goddard ,7.0,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Thriller
6733,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,La cabaña en el bosque, Drew Goddard ,7.0,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Mystery
